Name,Description,Audience,Fecha,Zone,Month,Year,NumberPeople,Duration
Boot Camp - Woman in data - Ibagué,Uso y aprovechamiento de la plataforma de datos abiertos ,"SIB Colombia, MinTIC",06/03/2016,Nacional,6,2016,4,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Acceso a la Información Pública: lineamientos e instrumentos y datos abiertos,"Gobernación de Antioquia, alcaldías, secretarías de Gobierno ",04/01/2016,Territorial,4,2016,129,4
Acceso a la información y Datos Abiertos ,Taller de datos abiertos ,"Bancoldex. Ministerio de Comercio, Industria y Turismo,",08/25/2016,Nacional,8,2016,11,2
Generalidades sobre datos abiertos ,Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,07/26/2016,Nacional,7,2016,120,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,08/03/2016,Nacional,8,2016,72,2
Uso y aprovechamiento de la plataforma de datos abiertos ,Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,08/05/2016,Nacional,8,2016,60,2
Uso y aprovechamiento de la plataforma de datos abiertos ,Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,08/11/2016,Nacional,8,2016,50,2
Registro en la Plataforma de datos.gov.co,Uso y aprovechamiento de la plataforma de datos abiertos ,"MinTIC, Corporación Colombia Digital, OCYT",05/25/2016,Nacional,5,2016,13,2
Uso y aprovechamiento de la plataforma de datos abiertos ,"Sensibilización general datos abiertos , usos plataforma ","Sociedad civil, entidades de Gobierno comunidad internaional ",11/01/2016,Nacional,11,2016,250,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,"Sensibilización general datos abiertos , usos plataforma ","Gobernación de Antioquia, alcaldías, secretarías de Gobierno ",10/27/2016,Nacional,10,2016,66,2
Estrategia de datos abiertos de Colombia - Cooperación internacional ,"Sensibilización general datos abiertos , usos plataforma ","Incubar manizales, Alcadia de Manizales, Universidad de Caldas, Aguas de manizales  s.a e.s.p, Instituto de educación superior colegio, integrado nacional oriente de caldas, Gobernacion de caldas",10/26/2016,Nacional,10,2016,127,2
Talleres itinerantes en el marco de la IV Conferencia Regional de Datos - CONDATOS ,Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,09/29/2016,Nacional,9,2016,47,2
"Sensibilización general datos abiertos , usos plataforma. Iniciativa Emprende con Datos. ","Sensibilización general datos abiertos , usos plataforma ","Gobernación de Valle alcaldías, secretarías de Gobierno ",10/25/2016,Nacional,10,2016,48,2
"Sensibilización general datos abiertos , usos plataforma. Iniciativa Emprende con Datos. ","Sensibilización general datos abiertos , usos plataforma ","Ministerio de agricultura, Mintic, Bibliored, Findeter, Ministerio del interior, Consejo distrital de comunicaciones negras, DNP, Ideam",10/20/2016,Nacional,10,2016,115,2
Capacitación de Uso de Datos,"Sensibilización general datos abiertos , usos plataforma ","Acueducto metropolitano, Findeter, Alcadia de piedecuesta, Gobernacion de santander, Area metropolitana, Personeria florida blanca. ",10/19/2016,Nacional,10,2016,100,2
"Sensibilización general datos abiertos , usos plataforma. Iniciativa Emprende con Datos. ","Sensibilización general datos abiertos , usos plataforma ",Entidades territoriales,10/18/2016,Nacional,10,2016,102,2
"Sensibilización general datos abiertos , usos plataforma. Iniciativa Emprende con Datos. ",Taller de datos abiertos ,Entidades territoriales Choco,04/27/2016,Territorial,4,2016,12,4
"Sensibilización general datos abiertos , usos plataforma. Iniciativa Emprende con Datos. ",Taller de datos abiertos ,Entidades territoriales Quindio,04/26/2016,Territorial,4,2016,23,4
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Taller de datos abiertos ,Entidades territoriales Tolima,04/26/2016,Territorial,4,2016,2,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ","Sensibilización general datos abiertos , usos plataforma ","Policía Nacional, Diji, Minsiterio de Vivienda, Fonprecon, Universidad Pedagógica,  Minvivienda, Ejército, Mintrabajo, ",10/13/2016,Nacional,10,2016,39,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Sensibilización general datos abiertos ,Universidad Distrital ,09/16/2016,Nacional,9,2016,40,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Sensibilización general datos abiertos ,Policía Nacional ,09/16/2016,Nacional,9,2016,20,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Sensibilización general datos abiertos , Gobernación de Cundinamarca ,09/14/2016,Nacional,9,2016,7,2
