id,municipio,name,date,periodicity,group,modality,size,fundings,entity,entityType,description
1,Alcalá,FIESTAS DE LA PAZ Y LA PROSPERIDAD ( ANIVERSARIAS),3-12 Noviembre,Anual,Carnaval y fiesta popular,Diversa,1000,Público-Privado,Alcaldía,Pública,Conmemoración de las fiestas aniversarias del municipio de Alcalá.
2,Andalucia,Festival nacional e internacional de bailes tradicionales,Julio,Anual,Artístico-Cultural,Danza-Folclorica,5000,Público-Privado,Fundación Raíces Folcloricas,Privada,En el año de 1998 nace la Agrupación Cultural Raíces Folklóricas por iniciativa del maestro Oscar Eduardo Velasco siendo la Salvaguardia de los valores culturales regionales y nacionales a través de la música y la danza folclórica la razón de ser de la agrupación. Inquietos en la continua búsqueda del cumplimiento de la misión cultural se gesta entre la dirección y demás miembros del grupo la idea de acercar a la comunidad Andaluza el Departamento del Valle y el país a las manifestaciones culturales danzarias por medio de un evento que en diferentes escenarios ofrezca practicas académicas talleres danzarios y puestas en escena dando origen al FESTIVAL INTERNACIONAL DE BAILES TRADICIONALES. El cual se realiza desde año 2006 y en el año 2019 llega a su XIII Edición.
3,Ansermanuevo,Fiestas del Calado y del Bordado,Agosto,Anual,Artístico-Cultural,Diversa,2000,Público-Privado,Alcaldía,Pública,Se realizan en el mes de agosto anualmente y se distinguen por ser una celebración cultural y artística donde se integra la zona urbana y rural del municipio en variadas actividades como conciertos en la plaza principal muestra gastronómica y comercialización de productos típicos del municipio.
4,Argelia,Fiestas del Retorno,Mayo,Anual,Carnaval y fiesta popular,Diversa,3000,Público-Privado,Alcaldía,Pública,Esta celebración que tiene lugar en el primer semestre del año durante el mes de mayo marca el regreso de los habitantes de este municipio a su tierra incluye en la programación un encuentro de danzas y de música tradicional. Estas fiestas son muy reconocidas debido a la integración que se genera el regresar al reencuentro con su pueblo donde se reciben las colonias de las diferentes ciudades.
5,Bolivar,Fiestas del divino ECCE HOMO,Agosto,Anual,Religioso-Patronal,Diversa,1000,Público-Privado,Parroquía y Alcaldía,Pública,En el corregimiento de Ricaurte se conmemora la fiesta del patrono en este espacio se encuentra el santuario de El Divino Ecce Homo donde venera la imagen con el mismo nombre. Algunos dicen que es un retrato de Jesús pintado por un esclavo negro en el fondo de una batea de madera usada para lavar oro.
6,Bolivar,Festival de los antojos,Abril,Anual,Carnaval y fiesta popular,Diversa,1500,Público,Alcaldía,Pública,Es un festival gastronómico donde se muestran los platos típicos de la región como el Sancocho de Gallina las rellenas de “Lucrecia” las empanadas bolivarenses con la receta de Ofelia los chorizos y marranitas de Alejandro el dulce de Breva el desamargado tamales manjar blanco los cuaresmeros de Ricaurte las Torrejas de Susana merengadas mazorca salpicón arroz ranchero alas rellenas hojaldres dulces yogures tamales y vinos. Además se hacen muestras artísticas y artesanales para acompañar el evento.
7,Buenaventura,Encuentro de cantores de río,10 de Noviembre,Anual,Artístico-Cultural,Música-Tradicional,3000,Público,Alcaldía,Pública,Evento artístico creado para la preservación el fortalecimiento la promoción y difusión de las Músicas de marimba y los Cantos tradicionales del Pacifico Sur Colombiano a través de las presentaciones en tarima de grupos autóctonos de la región conversatorios y espacios académicos que permiten visualizar y retroalimentar los avances de los procesos de formación en música tradicional que se desarrollan en el área urbana y rural de Buenaventura por medio de intercambio con agrupaciones de mayor trayectoria. 
8,Buenaventura,Festival folclorico del Pacifico,31 de agosto,Anual,Carnaval y fiesta popular,Diversa,3000,Público,Alcaldía,Pública,Este festival se convierte en un evento social de encuentro en el que manifestaciones como las músicas y danzas tradicionales afloran de forma espontánea se realizan desfiles comparsas y balsadas que dan muestra de la creatividad y alegría del bonaverence. 
9,Buga,Celebración del Señor de los Milagros,Septiembre,Anual,Religioso-Patronal,Diversa,10000,Público-Privado,Alcaldía y Curia,Pública,Esta tradición moviliza a miles de personas durante el mes de septiembre a la ciudad de Guadalajara de Buga en búsqueda de pagar una promesa pedir un milagro o simplemente agradar de alguna forma a Dios. 
10,Bugalagrande,Fiestas del Retorno,Agosto,Anual,Patriótico-Civíco,Diversa,6000,Público-Privado,Alcaldía,Pública,Durante el mes de agosto se lleva acabo esta actividad festividad es considerada la fiesta más importantes de Bugalagrande debido a que convoca a las personas originarias de este municipio permitiéndoles reencontrarse con sus familiares y amigos más cercanos. Durante el desarrollo del evento se realizan actividades culturales y recreativas las manifestaciones culturales más significativas son la música y las danzas tradicionales. El evento dura una semana se realizan juegos tradicionales como balineras juegos pirotécnicos y alboradas. El último día se hace un encuentro de comidas tradicionales denominado “La Plaza Gastronómica” durante esta actividad se expone todo tipo de alimentos tradicionales como mecatos comida caliente comida fría entre otros este evento es acompañado por profesionales culinarios que dan sus consejos para conservar los sabores y las técnicas tradicionales.
